liste,nomNuance,nuance,annee,election,tour,region,inscrits,votants,exprimes,voix,clef,voixPourcent,participationPourcent,blancsNulsPourcent,Couleur,codeCouleur
Jean-Charles KOHLHAAS,EELV et gauche,LVEG,2015,Régionales,1,84,5310770,2597323,2507815,173038,Régionales12015,6.9,48.91,1.69,Vert,#44EE8B
Sandrine ROUSSEAU,EELV et gauche,LVEG,2015,Régionales,1,32,4237839,2322851,2236792,107993,Régionales12015,4.83,54.81,2.03,Vert,#44EE8B
Sophie CAMARD,EELV et gauche,LVEG,2015,Régionales,1,93,3526091,1831409,1775257,116125,Régionales12015,6.54,51.94,1.59,Vert,#44EE8B
Jacques BOMPARD,Extrême droite,LEXD,2015,Régionales,1,93,3526091,1831409,1775257,19889,Régionales12015,1.12,51.94,1.59,Bleu marine,#0C295A
Jean-Claude MARTINEZ,Extrême droite,LEXD,2015,Régionales,1,76,4124642,2154655,2053576,14172,Régionales12015,0.69,52.24,2.45,Bleu marine,#0C295A
Jacques CHEMINADE,Solidarité et progrès,SP,2017,Présidentielles,1,01,316345,126651,112242,326,Présidentielles12017,0.29,40.04,4.55,Gris,#E0E0E0
Jacques CHEMINADE,Solidarité et progrès,SP,2017,Présidentielles,1,02,310812,123957,109264,373,Présidentielles12017,0.34,39.88,4.73,Gris,#E0E0E0
Jacques CHEMINADE,Solidarité et progrès,SP,2017,Présidentielles,1,03,92935,31925,26839,98,Présidentielles12017,0.37,34.35,5.47,Gris,#E0E0E0
Jacques CHEMINADE,Solidarité et progrès,SP,2017,Présidentielles,1,04,639481,375252,350480,944,Présidentielles12017,0.27,58.68,3.87,Gris,#E0E0E0
Jacques CHEMINADE,Solidarité et progrès,SP,2017,Présidentielles,1,06,83047,36187,33130,163,Présidentielles12017,0.49,43.57,3.68,Gris,#E0E0E0
Jacques CHEMINADE,Solidarité et progrès,SP,2017,Présidentielles,1,11,7199231,5751509,5631456,9795,Présidentielles12017,0.17,79.89,1.67,Gris,#E0E0E0
Jacques CHEMINADE,Solidarité et progrès,SP,2017,Présidentielles,1,24,1827657,1466892,1427614,2882,Présidentielles12017,0.2,80.26,2.15,Gris,#E0E0E0
Jacques CHEMINADE,Solidarité et progrès,SP,2017,Présidentielles,1,27,2001725,1588715,1544962,2843,Présidentielles12017,0.18,79.37,2.19,Gris,#E0E0E0
Jacques CHEMINADE,Solidarité et progrès,SP,2017,Présidentielles,1,28,2398182,1939818,1891428,3544,Présidentielles12017,0.19,80.89,2.02,Gris,#E0E0E0
Jacques CHEMINADE,Solidarité et progrès,SP,2017,Présidentielles,1,32,4241887,3316694,3232524,5688,Présidentielles12017,0.18,78.19,1.98,Gris,#E0E0E0
Jacques CHEMINADE,Solidarité et progrès,SP,2017,Présidentielles,1,44,3873402,3047571,2971625,6078,Présidentielles12017,0.2,78.68,1.96,Gris,#E0E0E0
Jacques CHEMINADE,Solidarité et progrès,SP,2017,Présidentielles,1,52,2705170,2252699,2191921,3731,Présidentielles12017,0.17,83.27,2.25,Gris,#E0E0E0
