,liste,nom_liste,nuance,annee,election,tour,region,inscrits,votants,exprimes,voix,clef,voixPourcent,participationPourcent,blancsNulsPourcent,Couleur,codeCouleur
338,François FILLON,Les Républicains,LR,2017,Présidentielles,1,32,4241887,3316694,3232524,521373,Présidentielles12017,16.13,78.19,1.98,Bleu,#045BFF
339,François FILLON,Les Républicains,LR,2017,Présidentielles,1,44,3873402,3047571,2971625,586390,Présidentielles12017,19.73,78.68,1.96,Bleu,#045BFF
340,François FILLON,Les Républicains,LR,2017,Présidentielles,1,52,2705170,2252699,2191921,516428,Présidentielles12017,23.56,83.27,2.25,Bleu,#045BFF
341,François FILLON,Les Républicains,LR,2017,Présidentielles,1,53,2453683,2048612,2000330,380815,Présidentielles12017,19.04,83.49,1.97,Bleu,#045BFF
342,François FILLON,Les Républicains,LR,2017,Présidentielles,1,75,4329942,3483794,3389374,602830,Présidentielles12017,17.79,80.46,2.18,Bleu,#045BFF
343,François FILLON,Les Républicains,LR,2017,Présidentielles,1,76,4194937,3400379,3316240,566036,Présidentielles12017,17.07,81.06,2.01,Bleu,#045BFF
344,François FILLON,Les Républicains,LR,2017,Présidentielles,1,84,5416712,4297161,4187716,845905,Présidentielles12017,20.2,79.33,2.02,Bleu,#045BFF
345,François FILLON,Les Républicains,LR,2017,Présidentielles,1,93,3567740,2810838,2750937,615524,Présidentielles12017,22.38,78.78,1.68,Bleu,#045BFF
346,François FILLON,Les Républicains,LR,2017,Présidentielles,1,94,233656,158991,154376,39453,Présidentielles12017,25.56,68.04,1.98,Bleu,#045BFF
347,François FILLON,Les Républicains,LR,2017,Présidentielles,1,ROM,432238,186961,178413,58049,Présidentielles12017,32.54,43.25,1.98,Bleu,#045BFF
348,Gérard ONESTA,EELV et gauche,LVEG,2015,Régionales,1,76,4124642,2154655,2053576,210602,Régionales12015,10.26,52.24,2.45,Vert,#44EE8B
349,Jean-Charles KOHLHAAS,EELV et gauche,LVEG,2015,Régionales,1,84,5310770,2597323,2507815,173038,Régionales12015,6.9,48.91,1.69,Vert,#44EE8B
350,Sandrine ROUSSEAU,EELV et gauche,LVEG,2015,Régionales,1,32,4237839,2322851,2236792,107993,Régionales12015,4.83,54.81,2.03,Vert,#44EE8B
351,Sophie CAMARD,EELV et gauche,LVEG,2015,Régionales,1,93,3526091,1831409,1775257,116125,Régionales12015,6.54,51.94,1.59,Vert,#44EE8B
352,Jacques BOMPARD,Extrême droite,LEXD,2015,Régionales,1,93,3526091,1831409,1775257,19889,Régionales12015,1.12,51.94,1.59,Bleu marine,#0C295A
353,Jean-Claude MARTINEZ,Extrême droite,LEXD,2015,Régionales,1,76,4124642,2154655,2053576,14172,Régionales12015,0.69,52.24,2.45,Bleu marine,#0C295A
354,Jacques CHEMINADE,Solidarité et progrès,SP,2017,Présidentielles,1,01,316345,126651,112242,326,Présidentielles12017,0.29,40.04,4.55,Gris,#E0E0E0
355,Jacques CHEMINADE,Solidarité et progrès,SP,2017,Présidentielles,1,02,310812,123957,109264,373,Présidentielles12017,0.34,39.88,4.73,Gris,#E0E0E0
356,Jacques CHEMINADE,Solidarité et progrès,SP,2017,Présidentielles,1,03,92935,31925,26839,98,Présidentielles12017,0.37,34.35,5.47,Gris,#E0E0E0
357,Jacques CHEMINADE,Solidarité et progrès,SP,2017,Présidentielles,1,04,639481,375252,350480,944,Présidentielles12017,0.27,58.68,3.87,Gris,#E0E0E0
358,Jacques CHEMINADE,Solidarité et progrès,SP,2017,Présidentielles,1,06,83047,36187,33130,163,Présidentielles12017,0.49,43.57,3.68,Gris,#E0E0E0
359,Jacques CHEMINADE,Solidarité et progrès,SP,2017,Présidentielles,1,11,7199231,5751509,5631456,9795,Présidentielles12017,0.17,79.89,1.67,Gris,#E0E0E0
360,Jacques CHEMINADE,Solidarité et progrès,SP,2017,Présidentielles,1,24,1827657,1466892,1427614,2882,Présidentielles12017,0.2,80.26,2.15,Gris,#E0E0E0
361,Jacques CHEMINADE,Solidarité et progrès,SP,2017,Présidentielles,1,27,2001725,1588715,1544962,2843,Présidentielles12017,0.18,79.37,2.19,Gris,#E0E0E0
362,Jacques CHEMINADE,Solidarité et progrès,SP,2017,Présidentielles,1,28,2398182,1939818,1891428,3544,Présidentielles12017,0.19,80.89,2.02,Gris,#E0E0E0
363,Jacques CHEMINADE,Solidarité et progrès,SP,2017,Présidentielles,1,32,4241887,3316694,3232524,5688,Présidentielles12017,0.18,78.19,1.98,Gris,#E0E0E0
364,Jacques CHEMINADE,Solidarité et progrès,SP,2017,Présidentielles,1,44,3873402,3047571,2971625,6078,Présidentielles12017,0.2,78.68,1.96,Gris,#E0E0E0
365,Jacques CHEMINADE,Solidarité et progrès,SP,2017,Présidentielles,1,52,2705170,2252699,2191921,3731,Présidentielles12017,0.17,83.27,2.25,Gris,#E0E0E0
366,Jacques CHEMINADE,Solidarité et progrès,SP,2017,Présidentielles,1,53,2453683,2048612,2000330,3400,Présidentielles12017,0.17,83.49,1.97,Gris,#E0E0E0
367,Jacques CHEMINADE,Solidarité et progrès,SP,2017,Présidentielles,1,75,4329942,3483794,3389374,6262,Présidentielles12017,0.18,80.46,2.18,Gris,#E0E0E0
368,Jacques CHEMINADE,Solidarité et progrès,SP,2017,Présidentielles,1,76,4194937,3400379,3316240,5524,Présidentielles12017,0.17,81.06,2.01,Gris,#E0E0E0
369,Jacques CHEMINADE,Solidarité et progrès,SP,2017,Présidentielles,1,84,5416712,4297161,4187716,7597,Présidentielles12017,0.18,79.33,2.02,Gris,#E0E0E0
370,Jacques CHEMINADE,Solidarité et progrès,SP,2017,Présidentielles,1,93,3567740,2810838,2750937,4569,Présidentielles12017,0.17,78.78,1.68,Gris,#E0E0E0
371,Jacques CHEMINADE,Solidarité et progrès,SP,2017,Présidentielles,1,94,233656,158991,154376,253,Présidentielles12017,0.16,68.04,1.98,Gris,#E0E0E0
372,Jacques CHEMINADE,Solidarité et progrès,SP,2017,Présidentielles,1,ROM,432238,186961,178413,486,Présidentielles12017,0.27,43.25,1.98,Gris,#E0E0E0
373,Jean LASSALLE,Résistons,Résistons,2017,Présidentielles,1,01,316345,126651,112242,650,Présidentielles12017,0.58,40.04,4.55,Gris,#E0E0E0
374,Jean LASSALLE,Résistons,Résistons,2017,Présidentielles,1,02,310812,123957,109264,870,Présidentielles12017,0.8,39.88,4.73,Gris,#E0E0E0
375,Jean LASSALLE,Résistons,Résistons,2017,Présidentielles,1,03,92935,31925,26839,273,Présidentielles12017,1.02,34.35,5.47,Gris,#E0E0E0
376,Jean LASSALLE,Résistons,Résistons,2017,Présidentielles,1,04,639481,375252,350480,1939,Présidentielles12017,0.55,58.68,3.87,Gris,#E0E0E0
377,Jean LASSALLE,Résistons,Résistons,2017,Présidentielles,1,06,83047,36187,33130,182,Présidentielles12017,0.55,43.57,3.68,Gris,#E0E0E0
378,Jean LASSALLE,Résistons,Résistons,2017,Présidentielles,1,11,7199231,5751509,5631456,36350,Présidentielles12017,0.65,79.89,1.67,Gris,#E0E0E0
379,Jean LASSALLE,Résistons,Résistons,2017,Présidentielles,1,24,1827657,1466892,1427614,13570,Présidentielles12017,0.95,80.26,2.15,Gris,#E0E0E0
380,Jean LASSALLE,Résistons,Résistons,2017,Présidentielles,1,27,2001725,1588715,1544962,15847,Présidentielles12017,1.03,79.37,2.19,Gris,#E0E0E0
381,Jean LASSALLE,Résistons,Résistons,2017,Présidentielles,1,28,2398182,1939818,1891428,13896,Présidentielles12017,0.73,80.89,2.02,Gris,#E0E0E0
382,Jean LASSALLE,Résistons,Résistons,2017,Présidentielles,1,32,4241887,3316694,3232524,22410,Présidentielles12017,0.69,78.19,1.98,Gris,#E0E0E0
383,Jean LASSALLE,Résistons,Résistons,2017,Présidentielles,1,44,3873402,3047571,2971625,30508,Présidentielles12017,1.03,78.68,1.96,Gris,#E0E0E0
384,Jean LASSALLE,Résistons,Résistons,2017,Présidentielles,1,52,2705170,2252699,2191921,16988,Présidentielles12017,0.78,83.27,2.25,Gris,#E0E0E0
385,Jean LASSALLE,Résistons,Résistons,2017,Présidentielles,1,53,2453683,2048612,2000330,19097,Présidentielles12017,0.95,83.49,1.97,Gris,#E0E0E0
386,Jean LASSALLE,Résistons,Résistons,2017,Présidentielles,1,75,4329942,3483794,3389374,91904,Présidentielles12017,2.71,80.46,2.18,Gris,#E0E0E0
387,Jean LASSALLE,Résistons,Résistons,2017,Présidentielles,1,76,4194937,3400379,3316240,75482,Présidentielles12017,2.28,81.06,2.01,Gris,#E0E0E0
388,Jean LASSALLE,Résistons,Résistons,2017,Présidentielles,1,84,5416712,4297161,4187716,53247,Présidentielles12017,1.27,79.33,2.02,Gris,#E0E0E0
389,Jean LASSALLE,Résistons,Résistons,2017,Présidentielles,1,93,3567740,2810838,2750937,29554,Présidentielles12017,1.07,78.78,1.68,Gris,#E0E0E0
390,Jean LASSALLE,Résistons,Résistons,2017,Présidentielles,1,94,233656,158991,154376,8711,Présidentielles12017,5.64,68.04,1.98,Gris,#E0E0E0
391,Jean LASSALLE,Résistons,Résistons,2017,Présidentielles,1,ROM,432238,186961,178413,1293,Présidentielles12017,0.72,43.25,1.98,Gris,#E0E0E0
392,Jean ZUCCARELLI,Parti radical de gauche,LRDG,2015,Régionales,1,94,229866,137143,133989,4227,Régionales12015,3.15,59.66,1.37,Rose clair,#FFAECD
393,Jean-Luc MÉLENCHON,France insoumise,LFI,2017,Présidentielles,1,01,316345,126651,112242,27081,Présidentielles12017,24.13,40.04,4.55,Rouge,#EE4A40
394,Jean-Luc MÉLENCHON,France insoumise,LFI,2017,Présidentielles,1,02,310812,123957,109264,29903,Présidentielles12017,27.37,39.88,4.73,Rouge,#EE4A40
395,Jean-Luc MÉLENCHON,France insoumise,LFI,2017,Présidentielles,1,03,92935,31925,26839,6633,Présidentielles12017,24.71,34.35,5.47,Rouge,#EE4A40
396,Jean-Luc MÉLENCHON,France insoumise,LFI,2017,Présidentielles,1,04,639481,375252,350480,85987,Présidentielles12017,24.53,58.68,3.87,Rouge,#EE4A40
397,Jean-Luc MÉLENCHON,France insoumise,LFI,2017,Présidentielles,1,06,83047,36187,33130,2789,Présidentielles12017,8.42,43.57,3.68,Rouge,#EE4A40
398,Jean-Luc MÉLENCHON,France insoumise,LFI,2017,Présidentielles,1,11,7199231,5751509,5631456,1224978,Présidentielles12017,21.75,79.89,1.67,Rouge,#EE4A40
399,Jean-Luc MÉLENCHON,France insoumise,LFI,2017,Présidentielles,1,24,1827657,1466892,1427614,252308,Présidentielles12017,17.67,80.26,2.15,Rouge,#EE4A40
400,Jean-Luc MÉLENCHON,France insoumise,LFI,2017,Présidentielles,1,27,2001725,1588715,1544962,276958,Présidentielles12017,17.93,79.37,2.19,Rouge,#EE4A40
401,Jean-Luc MÉLENCHON,France insoumise,LFI,2017,Présidentielles,1,28,2398182,1939818,1891428,362426,Présidentielles12017,19.16,80.89,2.02,Rouge,#EE4A40
402,Jean-Luc MÉLENCHON,France insoumise,LFI,2017,Présidentielles,1,32,4241887,3316694,3232524,633313,Présidentielles12017,19.59,78.19,1.98,Rouge,#EE4A40
403,Jean-Luc MÉLENCHON,France insoumise,LFI,2017,Présidentielles,1,44,3873402,3047571,2971625,484810,Présidentielles12017,16.31,78.68,1.96,Rouge,#EE4A40
404,Jean-Luc MÉLENCHON,France insoumise,LFI,2017,Présidentielles,1,52,2705170,2252699,2191921,403455,Présidentielles12017,18.41,83.27,2.25,Rouge,#EE4A40
405,Jean-Luc MÉLENCHON,France insoumise,LFI,2017,Présidentielles,1,53,2453683,2048612,2000330,385736,Présidentielles12017,19.28,83.49,1.97,Rouge,#EE4A40
406,Jean-Luc MÉLENCHON,France insoumise,LFI,2017,Présidentielles,1,75,4329942,3483794,3389374,703439,Présidentielles12017,20.75,80.46,2.18,Rouge,#EE4A40
407,Jean-Luc MÉLENCHON,France insoumise,LFI,2017,Présidentielles,1,76,4194937,3400379,3316240,734193,Présidentielles12017,22.14,81.06,2.01,Rouge,#EE4A40
408,Jean-Luc MÉLENCHON,France insoumise,LFI,2017,Présidentielles,1,84,5416712,4297161,4187716,805588,Présidentielles12017,19.24,79.33,2.02,Rouge,#EE4A40
409,Jean-Luc MÉLENCHON,France insoumise,LFI,2017,Présidentielles,1,93,3567740,2810838,2750937,515415,Présidentielles12017,18.74,78.78,1.68,Rouge,#EE4A40
410,Jean-Luc MÉLENCHON,France insoumise,LFI,2017,Présidentielles,1,94,233656,158991,154376,21314,Présidentielles12017,13.81,68.04,1.98,Rouge,#EE4A40
411,Jean-Luc MÉLENCHON,France insoumise,LFI,2017,Présidentielles,1,ROM,432238,186961,178413,15933,Présidentielles12017,8.93,43.25,1.98,Rouge,#EE4A40
412,José ROSSI,Les Républicains,LLR,2015,Régionales,1,94,229866,137143,133989,17642,Régionales12015,13.17,59.66,1.37,Bleu,#045BFF
413,Laurent BERNIER,Les Républicains,LLR,2015,Régionales,1,01,313433,147975,140454,6312,Régionales12015,4.49,47.21,2.4,Bleu,#045BFF
414,Rémy Louis BUDOC,Les Républicains,LLR,2015,Régionales,1,03,88183,37585,36130,1114,Régionales12015,3.08,42.62,1.65,Bleu,#045BFF
415,Yan MONPLAISIR,Les Républicains,LLR,2015,Régionales,1,02,310723,127716,120629,17272,Régionales12015,14.32,41.1,2.28,Bleu,#045BFF
416,Marine LE PEN,Front National,FN,2017,Présidentielles,1,01,316345,126651,112242,15159,Présidentielles12017,13.51,40.04,4.55,Bleu marine,#0C295A
417,Marine LE PEN,Front National,FN,2017,Présidentielles,1,02,310812,123957,109264,11949,Présidentielles12017,10.94,39.88,4.73,Bleu marine,#0C295A
418,Marine LE PEN,Front National,FN,2017,Présidentielles,1,03,92935,31925,26839,6521,Présidentielles12017,24.3,34.35,5.47,Bleu marine,#0C295A
419,Marine LE PEN,Front National,FN,2017,Présidentielles,1,04,639481,375252,350480,82219,Présidentielles12017,23.46,58.68,3.87,Bleu marine,#0C295A
