election,tour,region,inscrits,votants,exprimes,liste,nuance,nomNuance,voix,annee,clef,voixPourcent,participationPourcent,blancsNulsPourcent,nom,Couleur,codeCouleur
Européennes,1,02,305233,34844,31206,Philippe LE CONSTANT,LUG,Union de la gauche,6446,2014,Européennes-2014-T1,20.66,11.42,1.19,Martinique,Rose,#FF5E9A
Européennes,1,02,305233,34844,31206,Roseline SURVEILLANT,LDIV,Divers,6,2014,Européennes-2014-T1,0.02,11.42,1.19,Martinique,Gris,#E0E0E0
Européennes,1,02,305233,34844,31206,Younous OMARJEE,LDVG,Divers gauche,8589,2014,Européennes-2014-T1,27.52,11.42,1.19,Martinique,Rose,#FF5E9A
Européennes,1,02,305233,34844,31206,Yvette DUCHEMANN,LVEC,Europe-Ecologie-Les Verts,1656,2014,Européennes-2014-T1,5.31,11.42,1.19,Martinique,Vert,#44EE8B
Européennes,1,02,301572,45909,39362,ALLIANCE JAUNE,,,91,2019,Européennes-2019-T1,0.23,15.22,2.17,Martinique,,
Européennes,1,02,301572,45909,39362,ALLONS ENFANTS,,,12,2019,Européennes-2019-T1,0.03,15.22,2.17,Martinique,,
Européennes,1,02,301572,45909,39362,À VOIX ÉGALES,,,91,2019,Européennes-2019-T1,0.23,15.22,2.17,Martinique,,
Européennes,1,02,301572,45909,39362,DEBOUT LA FRANCE,,,887,2019,Européennes-2019-T1,2.25,15.22,2.17,Martinique,,
Européennes,1,02,301572,45909,39362,DÉCROISSANCE 2019,,,76,2019,Européennes-2019-T1,0.19,15.22,2.17,Martinique,,
Européennes,1,02,301572,45909,39362,DÉMOCRATIE REPRÉSENTATIVE,,,15,2019,Européennes-2019-T1,0.04,15.22,2.17,Martinique,,
Européennes,1,02,301572,45909,39362,ENSEMBLE PATRIOTES,,,2,2019,Européennes-2019-T1,0.01,15.22,2.17,Martinique,,
Européennes,1,02,301572,45909,39362,ENSEMBLE POUR LE FREXIT,,,912,2019,Européennes-2019-T1,2.32,15.22,2.17,Martinique,,
